"txid","refid","time","type","subtype","aclass","subclass","asset","wallet","amount","fee","balance"
"LWEQFA-SYQCT-6EBSDB","T26PFL-UBOZR-6FH2BY","2024-12-25 12:33:29","trade","tradespot","currency","fiat","GBP","spot / main",-77.0915,0.1542,0.3185
"L4OMKL-C6Z6U-D6MRJY","T26PFL-UBOZR-6FH2BY","2024-12-25 12:33:29","trade","tradespot","currency","stable_coin","USDT","spot / main",96.80000000,0,97.36248376
"LTLCKS-7J6SW-NJBRAX","FTUDbzo-3b4IH1A7Q41b8H1DwaD3b3","2024-12-25 12:34:26","withdrawal","","currency","stable_coin","USDT","spot / main",-92.80000000,4.00000000,0.56248376
"LLQNRH-C4UNW-EMC5GV","FTJWid0-kVlwRBBmmoF6jyTf2AczZT","2024-12-28 12:31:34","deposit","","currency","fiat","GBP","spot / main",90.0000,0,90.3185
"LH3JO6-7E4FZ-6QAJBP","FTInpyj-nfZPDtVZXZZjbINI2ncGW0","2024-12-28 12:35:17","deposit","","currency","fiat","GBP","spot / main",50.0000,0,140.3185
"L2XO7M-VYRQU-ALDMN5","TG7RNC-3H7OT-JMJUUK","2024-12-28 12:45:38","trade","tradespot","currency","fiat","GBP","spot / main",-140.0000,0.2800,0.0385
"LLLQ36-AZJXB-ODVOC6","TG7RNC-3H7OT-JMJUUK","2024-12-28 12:45:38","trade","tradespot","currency","stable_coin","USDT","spot / main",176.30021408,0,176.86269784
"LJA3GW-KGJYH-D2IO4I","FTPSvzO-Riek99Ruvpz7sY7GsUAIK2","2024-12-28 12:48:55","withdrawal","","currency","stable_coin","USDT","spot / main",-172.00000000,4.00000000,0.86269784
"LJIJAM-XLOP5-A3ZK4N","FTV5rAC-ur688WeWIx4ScvqZn4prdL","2025-01-10 19:12:48","deposit","","currency","fiat","GBP","spot / main",324.0000,0,324.0385
"LYF52B-SYMIM-K3UY77","FTjckXk-AYBu1wzDMXwMnxWA8tNHqE","2025-01-10 19:13:16","deposit","","currency","fiat","GBP","spot / main",995.0000,0,1319.0385
"L6YZZK-5EVDX-LHTK2Q","TWVTWW-GCTW5-ARPF6D","2025-01-10 19:19:22","trade","tradespot","currency","fiat","GBP","spot / main",-1319.0000,0,0.0385
"LTVJRV-PA22D-MR7UZF","TWVTWW-GCTW5-ARPF6D","2025-01-10 19:19:22","trade","tradespot","currency","stable_coin","USDT","spot / main",1610.50061050,3.22100122,1608.14230712
"LUA622-BH3JR-KDYHQS","FTddoxz-dCQKU0q9Ea9z9lqKzq1lrR","2025-01-10 19:21:28","withdrawal","","currency","stable_coin","USDT","spot / main",-1604.14230700,4.00000000,0.00000012
"L7A6F2-RUFPZ-PTOCZ2","FTNjWdt-QBv1SKeCVRv7HtdSb6xzU3","2025-01-19 14:12:49","deposit","","currency","fiat","GBP","spot / main",78.0000,0,78.0385
"LUCDF5-M66OX-AQSO7T","T4DPM7-3H2U3-GCZUIQ","2025-01-19 14:14:18","trade","tradespot","currency","fiat","GBP","spot / main",-77.9570,0,0.0815
"L2B2SW-IV5VF-BIVC2P","T4DPM7-3H2U3-GCZUIQ","2025-01-19 14:14:18","trade","tradespot","currency","stable_coin","USDT","spot / main",95.00000000,0.19000000,94.81000012
"LQDPHR-A4HXZ-D3A4DG","FTSMzsG-jEb6v06nBl5SRex9rvHeAG","2025-01-19 15:33:08","withdrawal","","currency","stable_coin","USDT","spot / main",-90.00000000,4.00000000,0.81000012
"L6M4OB-AIVHL-O4WNMW","FTKdLNu-zMR9FEi1XqXcwFT5miIYmR","2025-01-31 05:50:43","deposit","","currency","fiat","GBP","spot / main",85.0000,0,85.0815
"LKGS6Y-YDXZ5-AAUS3N","TFBUR7-VCT5K-NCSLMP","2025-01-31 05:57:08","trade","tradespot","currency","fiat","GBP","spot / main",-83.6472,0.1673,1.2670
"L7EKM4-CG5ML-TN3YG6","TFBUR7-VCT5K-NCSLMP","2025-01-31 05:57:08","trade","tradespot","currency","stable_coin","USDT","spot / main",104.00000000,0,104.81000012
"LPX6W5-FZ4DI-NV3NE3","FTbSll9-PmQPLf4yHfudVivM7KKnBM","2025-01-31 05:58:51","withdrawal","","currency","stable_coin","USDT","spot / main",-100.00000000,4.00000000,0.81000012
